,all tokens,in hedo,scores,not in hedo,category,weights,happy category,all_ind,Big4,mean happiness
HeelFaceRevolvingDoor,"['Heel', 'Face', 'Revolving', 'Door']",[],[],"['heel', 'face', 'revolving', 'door']",TopicalTropes,[],,"['AdaptationalJerkass', 'AdaptationalVillainy', 'AesopAmnesia', 'AntiHero', 'AntiVillain', 'BetrayalTropes', 'BigScrewedUpFamily', 'CharClone', 'ComicBookMoviesDontUseCodenames', 'DarkIsNotEvil', 'DoorTropes', 'EnemyMine', 'EsotericHappyEnding', 'EvilIsSexy', 'TheFace', 'FaceHeelTurn', 'FallenHero', 'FranchiseKiller', 'TheFriendNobodyLikes', 'HappyEndingOverride', 'HeWhoFightsMonsters', 'HeelFaceIndex', 'HeelFaceTurn', 'HeterosexualLifePartners', 'HumanSacrifice', 'ItsPersonal', 'LoveRedeems', 'MemeticMolester', 'MoralDilemma', 'NinetiesAntiHero', 'NobleDemon', 'NominalHero', 'OverdosedTropes', 'OverlyLongGag', 'RagtagBunchOfMisfits', 'ReformedButNotTamed', 'SignificantWardrobeShift', 'TheyWastedAPerfectlyGoodCharacter', 'UndeadHorseTrope', 'VillainProtagonist', 'WalkingSpoiler', 'YourPrincessIsInAnotherCastle']",['TopicalTropes'],
AxeBeforeEntering,"['Axe', 'Before', 'Entering']",[],[],"['axe', 'before', 'entering']",TopicalTropes,[],,"['AxCrazy', 'DoorTropes', 'JustForPun', 'TheNewestOnesInTheBook', 'OlderThanTelevision', 'ToolTropes']",['TopicalTropes'],
BatteringRam,"['Battering', 'Ram']",[],[],"['battering', 'ram']",,[],,"['CombatTropes', 'DoorTropes', 'GlassCannon', 'MilitaryAndWarfareTropes', 'NiceJobFixingItVillain', 'ScrewThisIndexIHaveTropes', 'Spectacle', 'ThisIndexHitsForMassiveDamage', 'WeaponsAndWieldingTropes']","['GenreTropes', 'NarrativeTropes', 'TopicalTropes']",
BigDoor,"['Big', 'Door']",[],[],"['big', 'door']",TopicalTropes,[],,['DoorTropes'],['TopicalTropes'],
BucketBoobyTrap,"['Bucket', 'Booby', 'Trap']",['trap'],[3.44],"['bucket', 'booby']",,[-2],not happy,"['ComedyTropes', 'DeathCourse', 'DoorTropes', 'PracticalJoke']","['GenreTropes', 'TopicalTropes']",3.44
ClosedDoorRapport,"['Closed', 'Door', 'Rapport']",['closed'],[3.66],"['door', 'rapport']",,[-2],not happy,"['Dialogue', 'DoorTropes', 'RomanceArc', 'SublimeRhyme']","['NarrativeTropes', 'TopicalTropes']",3.66
DangerousKeyFumble,"['Dangerous', 'Key', 'Fumble']",['dangerous'],[2.44],"['key', 'fumble']",,[-3],not happy,"['DoorTropes', 'HorrorTropes', 'IndexFailure', 'MotorVehicleTropes', 'SurvivalHorror']","['GenreTropes', 'TopicalTropes']",2.44
DingDongDitchDistraction,"['Ding', 'Dong', 'Ditch', 'Distraction']",[],[],"['ding', 'dong', 'ditch', 'distraction']",,[],,"['ComedyTropes', 'DoorTropes', 'PracticalJoke', 'WeNeedADistraction']","['GenreTropes', 'TopicalTropes']",
DoomDoors,"['Doom', 'Doors']",['doom'],[3.12],['doors'],,[-3],not happy,"['DoomyDoomsOfDoom', 'DoorTropes', 'SoundFXTropes']","['MediaTropes', 'NarrativeTropes', 'TopicalTropes']",3.12
DoorClosesEnding,"['Door', 'Closes', 'Ending']",['ending'],[4.02],"['door', 'closes']",TopicalTropes,[-2],not happy,"['DoorTropes', 'EndingTropes', 'OlderThanRadio']",['TopicalTropes'],4.02
DoorDumb,"['Door', 'Dumb']",['dumb'],[3.06],['door'],TopicalTropes,[-3],not happy,"['DoorTropes', 'ThisIndexIsAJoke']",['TopicalTropes'],3.06
DoorFocus,"['Door', 'Focus']",[],[],"['door', 'focus']",,[],,"['ComedyTropes', 'DoorTropes', 'ThisIndexHasLeftTheBuilding']","['GenreTropes', 'TopicalTropes']",
DoorFu,"['Door', 'Fu']",[],[],"['door', 'fu']",TopicalTropes,[],,"['DoorTropes', 'FooFu', 'ImprovisedIndex', 'WeaponsAndWieldingTropes']",['TopicalTropes'],
DoorHandleScare,"['Door', 'Handle', 'Scare']",['scare'],[3.04],"['door', 'handle']",,[-3],not happy,"['DoorTropes', 'HorrorTropes']","['GenreTropes', 'TopicalTropes']",3.04
DoorJudo,"['Door', 'Judo']",[],[],"['door', 'judo']",,[],,"['ComedyTropes', 'DoorTropes', 'ZanyCartoon']","['GenreTropes', 'TopicalTropes']",
DoorOfDoom,"['Door', 'Of', 'Doom']",['doom'],[3.12],"['door', 'of']",,[-3],not happy,"['ActionAdventureTropes', 'DoomyDoomsOfDoom', 'DoorTropes']","['GenreTropes', 'TopicalTropes']",3.12
DoorRoulette,"['Door', 'Roulette']",[],[],"['door', 'roulette']",,[],,"['ComedyTropes', 'DoorTropes', 'FailedASpotCheck', 'FilmTropes']","['GenreTropes', 'MediaTropes', 'TopicalTropes']",
DoorSlamOfRage,"['Door', 'Slam', 'Of', 'Rage']","['slam', 'rage']","[3.98, 2.56]","['door', 'of']",TopicalTropes,"[-2, -3]",not happy,"['AngerTropes', 'DoorTropes', 'PercussiveTherapy']",['TopicalTropes'],3.27
TheDoorSlamsYou,"['The', 'Door', 'Slams', 'You']",[],[],"['the', 'door', 'slams', 'you']",,[],,"['AmusingInjuries', 'AnimationTropes', 'BeCarefulWhatYouWishFor', 'ComedyTropes', 'ComicBookTropes', 'DoorTropes', 'TheJuggernaut', 'LeftTheBackgroundMusicOn', 'RussianReversal', 'Slapstick', 'ZanyCartoon']","['GenreTropes', 'MediaTropes', 'TopicalTropes']",
ExplodingCloset,"['Exploding', 'Closet']",[],[],"['exploding', 'closet']",,[],,"['ComedyTropes', 'DoorTropes', 'FurnitureTropes', 'QuoteSource', 'Slapstick']","['GenreTropes', 'TopicalTropes']",
ForceFieldDoor,"['Force', 'Field', 'Door']",['force'],[4.0],"['field', 'door']",,[-2],not happy,"['AirVentPassageway', 'DoorTropes', 'FuturisticTechIndex', 'SpeculativeFictionTropes']","['GenreTropes', 'TopicalTropes']",4.0
GhostButler,"['Ghost', 'Butler']",['ghost'],[3.64],['butler'],,[-2],not happy,"['CharactersAsDevice', 'DiscreditedTrope', 'DoorTropes', 'HauntedIndex', 'HorrorTropes', 'JustForPun', 'RagtagBunchOfMisfits']","['GenreTropes', 'NarrativeTropes', 'TopicalTropes']",3.64
HairpinLockpick,"['Hairpin', 'Lockpick']",[],[],"['hairpin', 'lockpick']",,[],,"['AmbiguousDisorder', 'DoorTropes', 'InsecuritySystem', 'OlderIsBetter', 'ToolTropes']","['NarrativeTropes', 'TopicalTropes']",
HookingTheKeys,"['Hooking', 'The', 'Keys']",[],[],"['hooking', 'the', 'keys']",TopicalTropes,[],,"['DoorTropes', 'EscapeTropes', 'TheGuardsMustBeCrazy', 'PrisonTropes']",['TopicalTropes'],
ImprovisedLockpick,"['Improvised', 'Lockpick']",[],[],"['improvised', 'lockpick']",,[],,"['DoorTropes', 'ImprovisedIndex', 'InsecuritySystem', 'StormingTheCastle', 'ToolTropes']","['NarrativeTropes', 'TopicalTropes']",
InterchangeableAntimatterKeys,"['Interchangeable', 'Antimatter', 'Keys']",[],[],"['interchangeable', 'antimatter', 'keys']",TopicalTropes,[],,"['DoorTropes', 'VideogameItemsAndInventory']",['TopicalTropes'],
KeyConfusion,"['Key', 'Confusion']",['confusion'],[3.32],['key'],,[-3],not happy,"['ComedyTropes', 'DoorTropes', 'IndexFailure']","['GenreTropes', 'TopicalTropes']",3.32
TheKeyIsBehindTheLock,"['The', 'Key', 'Is', 'Behind', 'The', 'Lock']",[],[],"['the', 'key', 'is', 'behind', 'the', 'lock']",,[],,"['DoorTropes', 'NarrativeDevices', 'ReliablyUnreliableGuns', 'StockPuzzle']","['NarrativeTropes', 'TopicalTropes']",
KeyUnderTheDoormat,"['Key', 'Under', 'The', 'Doormat']",[],[],"['key', 'under', 'the', 'doormat']",TopicalTropes,[],,"['BuildingTropes', 'DoorTropes', 'HotelTropes']",['TopicalTropes'],
KnockingOnHeathensDoor,"['Knocking', 'On', 'Heathens', 'Door']",[],[],"['knocking', 'on', 'heathens', 'door']",,[],,"['ComedyTropes', 'DoorTropes', 'DoubleMeaningTitle', 'JustForPun', 'ReligionTropes']","['GenreTropes', 'TopicalTropes']",
LockedDoor,"['Locked', 'Door']",['locked'],[3.7],['door'],,[-2],not happy,"['DoorTropes', 'InteractiveFiction', 'StockVideoGamePuzzle', 'ThisIndexIsInTheWay', 'VideoGameTropes']","['MediaTropes', 'TopicalTropes']",3.7
LockedInTheBathroom,"['Locked', 'In', 'The', 'Bathroom']",['locked'],[3.7],"['in', 'the', 'bathroom']",TopicalTropes,[-2],not happy,"['BathroomTropes', 'DoorTropes']",['TopicalTropes'],3.7
TheLonelyDoor,"['The', 'Lonely', 'Door']",['lonely'],[2.86],"['the', 'door']",TopicalTropes,[-3],not happy,"['BiggerOnTheInside', 'DoorTropes', 'HyperspaceIndex']",['TopicalTropes'],2.86
LuckBasedSearchTechnique,"['Luck', 'Based', 'Search', 'Technique']",['luck'],[7.26],"['based', 'search', 'technique']",,[2],happy,"['ActionAdventureTropes', 'DoorTropes', 'HorrorTropes', 'SpannerInTheWorks']","['GenreTropes', 'TopicalTropes']",7.26
OminousKnocking,"['Ominous', 'Knocking']",[],[],"['ominous', 'knocking']",,[],,"['DoorTropes', 'HorrorTropes']","['GenreTropes', 'TopicalTropes']",
OminouslyOpenDoor,"['Ominously', 'Open', 'Door']",[],[],"['ominously', 'open', 'door']",,[],,"['AdverblyAdjectiveNoun', 'CrimeAndPunishmentTropes', 'DoorTropes', 'HorrorTropes']","['GenreTropes', 'TopicalTropes']",
OpenDoorOpening,"['Open', 'Door', 'Opening']",[],[],"['open', 'door', 'opening']",,[],,"['BeginningTropes', 'DoorTropes']","['NarrativeTropes', 'TopicalTropes']",
OpenSaysMe,"['Open', 'Says', 'Me']",['me'],[6.58],"['open', 'says']",,[1],happy,"['ActionAdventureTropes', 'CuttingTheKnot', 'DoorTropes', 'JustForPun', 'TheLancer', 'ScrewThisIndexIHaveTropes']","['GenreTropes', 'TopicalTropes']",6.58
OpenTheDoorAndSeeAllThePeople,"['Open', 'The', 'Door', 'And', 'See', 'All', 'The', 'People']",[],[],"['open', 'the', 'door', 'and', 'see', 'all', 'the', 'people']",TopicalTropes,[],,"['CrowdTropes', 'DoorTropes', 'NakedPeopleAreFunny', 'NudityTropes', 'SurpriseTropes']",['TopicalTropes'],
OurDoorsAreDifferent,"['Our', 'Doors', 'Are', 'Different']",[],[],"['our', 'doors', 'are', 'different']",,[],,"['DoorTropes', 'FuturisticTechIndex', 'SpeculativeFictionTropes']","['GenreTropes', 'TopicalTropes']",
DilatingDoor,"['Dilating', 'Door']",[],[],"['dilating', 'door']",,[],,"['DoorTropes', 'FuturisticTechIndex', 'SpeculativeFictionTropes', 'WeWillNotUseAnIndexInTheFuture']","['GenreTropes', 'TopicalTropes']",
ScriptReadingDoors,"['Script', 'Reading', 'Doors']",['reading'],[6.78],"['script', 'doors']",,[1],happy,"['DoorTropes', 'FuturisticTechIndex', 'SpeculativeFictionTropes']","['GenreTropes', 'TopicalTropes']",6.78
PaperKeyRetrievalTrick,"['Paper', 'Key', 'Retrieval', 'Trick']",[],[],"['paper', 'key', 'retrieval', 'trick']",TopicalTropes,[],,"['DoorTropes', 'StockPuzzle']",['TopicalTropes'],
PortalDoor,"['Portal', 'Door']",[],[],"['portal', 'door']",TopicalTropes,[],,"['AlienGeometries', 'BiggerOnTheInside', 'DoorTropes', 'DramaticIrony', 'HeartIsAnAwesomePower', 'MysteriousStranger', 'NotTheIntendedUse', 'TeleportationTropes', 'YankTheDogsChain']",['TopicalTropes'],
RealFakeDoor,"['Real', 'Fake', 'Door']","['real', 'fake']","[6.78, 2.9]",['door'],TopicalTropes,"[1, -3]",not happy,['DoorTropes'],['TopicalTropes'],4.84
ScoobyDoobyDoors,"['Scooby', 'Dooby', 'Doors']",[],[],"['scooby', 'dooby', 'doors']",,[],,"['AlienGeometries', 'ChaseScene', 'ComedyTropes', 'DeadHorseTrope', 'DeconstructorFleet', 'DoorTropes', 'JustForPun', 'LeftTheBackgroundMusicOn', 'OffscreenTeleportation', 'ZanyCartoon']","['GenreTropes', 'NarrativeTropes', 'TopicalTropes']",
ShootOutTheLock,"['Shoot', 'Out', 'The', 'Lock']",['shoot'],[3.46],"['out', 'the', 'lock']",TopicalTropes,[-2],not happy,"['ChallengeRun', 'CuttingTheKnot', 'DevelopersForesight', 'DoorTropes', 'GunsAndGunplayTropes', 'GunsDoNotWorkThatWay', 'NotTheIntendedUse', 'ThatOneAchievement']",['TopicalTropes'],3.46
SkeletonKeyCard,"['Skeleton', 'Key', 'Card']",[],[],"['skeleton', 'key', 'card']",,[],,"['ActionAdventureTropes', 'DiscreditedTrope', 'DoorTropes', 'InsecuritySystem', 'JustForPun']","['GenreTropes', 'NarrativeTropes', 'TopicalTropes']",
SlowDoors,"['Slow', 'Doors']",['slow'],[3.78],['doors'],,[-2],not happy,"['DoorTropes', 'InsecuritySystem', 'QuoteSource', 'VelocityIndex']","['NarrativeTropes', 'TopicalTropes']",3.78
IndyHatRoll,"['Indy', 'Hat', 'Roll']",[],[],"['indy', 'hat', 'roll']",,[],,"['ActionAdventureTropes', 'DoorTropes', 'SkewedPriorities']","['GenreTropes', 'TopicalTropes']",
StuckInTheDoorway,"['Stuck', 'In', 'The', 'Doorway']",['stuck'],[3.66],"['in', 'the', 'doorway']",,[-2],not happy,"['ComedyTropes', 'DoorTropes']","['GenreTropes', 'TopicalTropes']",3.66
TacticalDoorUse,"['Tactical', 'Door', 'Use']",[],[],"['tactical', 'door', 'use']",,[],,"['DoorTropes', 'VideoGameTacticalIndex', 'VideoGameTropes']","['MediaTropes', 'TopicalTropes']",
TaeKwonDoor,"['Tae', 'Kwon', 'Door']",[],[],"['tae', 'kwon', 'door']",TopicalTropes,[],,"['DoorTropes', 'ImprovisedIndex', 'JustForPun', 'TheManyDeathsOfYou']",['TopicalTropes'],
ThereWasADoor,"['There', 'Was', 'A', 'Door']",[],[],"['there', 'was', 'a', 'door']",,[],,"['ActionAdventureTropes', 'BreakingAndDestructionTropes', 'ComedyTropes', 'CuttingTheKnot', 'DoorTropes', 'ImpactSilhouette', 'TheJuggernaut', 'JustInTime', 'NightmareFuelStationAttendant', 'Slapstick', 'ThisIndexHasLeftTheBuilding', 'WithCatlikeTread']","['GenreTropes', 'TopicalTropes']",
ToyotaTripwire,"['Toyota', 'Tripwire']",[],[],"['toyota', 'tripwire']",,[],,"['ChaseScene', 'DoorTropes', 'MotorVehicleTropes', 'TechnicalPacifist']","['NarrativeTropes', 'TopicalTropes']",
WeHaveTheKeys,"['We', 'Have', 'The', 'Keys']",[],[],"['we', 'have', 'the', 'keys']",TopicalTropes,[],,"['CuttingTheKnot', 'DoorTropes']",['TopicalTropes'],
WeldTheLock,"['Weld', 'The', 'Lock']",[],[],"['weld', 'the', 'lock']",TopicalTropes,[],,"['DoorTropes', 'GunsAndGunplayTropes']",['TopicalTropes'],
